Country,Month,Year,Events,Fatalities
South Korea,January,2018,0,0
South Korea,February,2018,0,0
South Korea,March,2018,0,0
South Korea,April,2018,0,0
South Korea,May,2018,0,0
South Korea,June,2018,0,0
South Korea,July,2018,0,0
South Korea,August,2018,0,0
South Korea,September,2018,0,0
South Korea,October,2018,0,0
South Korea,November,2018,0,0
South Korea,December,2018,0,0
South Korea,January,2019,1,0
South Korea,February,2019,0,0
South Korea,March,2019,0,0
South Korea,April,2019,0,0
South Korea,May,2019,0,0
South Korea,June,2019,0,0
South Korea,July,2019,0,0
South Korea,August,2019,0,0
South Korea,September,2019,1,0
South Korea,October,2019,0,0
South Korea,November,2019,0,0
South Korea,December,2019,0,0
South Korea,January,2020,1,0
South Korea,February,2020,1,0
South Korea,March,2020,0,0
South Korea,April,2020,5,0
South Korea,May,2020,0,0
South Korea,June,2020,0,0
South Korea,July,2020,0,0
South Korea,August,2020,0,0
South Korea,September,2020,0,0
South Korea,October,2020,0,0
South Korea,November,2020,0,0
South Korea,December,2020,0,0
South Korea,January,2021,0,0
South Korea,February,2021,0,0
South Korea,March,2021,0,0
South Korea,April,2021,0,0
South Korea,May,2021,0,0
South Korea,June,2021,0,0
South Korea,July,2021,0,0
South Korea,August,2021,0,0
South Korea,September,2021,0,0
South Korea,October,2021,0,0
South Korea,November,2021,1,0
South Korea,December,2021,0,0
South Korea,January,2022,0,0
South Korea,February,2022,0,0
South Korea,March,2022,0,0
South Korea,April,2022,0,0
South Korea,May,2022,0,0
South Korea,June,2022,1,0
South Korea,July,2022,0,0
South Korea,August,2022,0,0
South Korea,September,2022,0,0
South Korea,October,2022,0,0
South Korea,November,2022,0,0
South Korea,December,2022,0,0
South Korea,January,2023,0,0
South Korea,February,2023,0,0
South Korea,March,2023,0,0
South Korea,April,2023,0,0
South Korea,May,2023,0,0
South Korea,June,2023,0,0
South Korea,July,2023,0,0
South Korea,August,2023,0,0
South Korea,September,2023,0,0
South Korea,October,2023,0,0
South Korea,November,2023,0,0
South Korea,December,2023,0,0
South Korea,January,2024,2,0
South Korea,February,2024,0,0
South Korea,March,2024,0,0
South Korea,April,2024,0,0
South Korea,May,2024,0,0
South Korea,June,2024,0,0
South Korea,July,2024,0,0
South Korea,August,2024,0,0
South Korea,September,2024,2,0
South Korea,October,2024,0,0
South Korea,November,2024,0,0
South Korea,December,2024,0,0
South Korea,January,2025,0,0
South Korea,February,2025,0,0
South Korea,March,2025,1,0
South Korea,April,2025,0,0
South Korea,May,2025,0,0
South Korea,June,2025,0,0
South Korea,July,2025,0,0
South Korea,August,2025,0,0
South Korea,September,2025,0,0
South Korea,October,2025,0,0
South Korea,November,2025,0,0
South Korea,December,2025,0,0
South Korea,January,2026,0,0
South Korea,February,2026,0,0
South Korea,March,2026,0,0
South Korea,April,2026,0,0
