Country,Month,Year,Events,Fatalities
Spain,January,2020,3,0
Spain,February,2020,0,0
Spain,March,2020,1,0
Spain,April,2020,1,0
Spain,May,2020,5,0
Spain,June,2020,0,0
Spain,July,2020,2,0
Spain,August,2020,2,0
Spain,September,2020,2,0
Spain,October,2020,0,0
Spain,November,2020,1,0
Spain,December,2020,0,0
Spain,January,2021,8,0
Spain,February,2021,9,0
Spain,March,2021,1,0
Spain,April,2021,2,0
Spain,May,2021,6,0
Spain,June,2021,8,0
Spain,July,2021,6,1
Spain,August,2021,5,0
Spain,September,2021,6,3
Spain,October,2021,3,0
Spain,November,2021,1,0
Spain,December,2021,3,0
Spain,January,2022,1,0
Spain,February,2022,2,0
Spain,March,2022,2,0
Spain,April,2022,3,0
Spain,May,2022,2,0
Spain,June,2022,0,0
Spain,July,2022,0,0
Spain,August,2022,0,0
Spain,September,2022,0,0
Spain,October,2022,0,0
Spain,November,2022,1,0
Spain,December,2022,0,0
Spain,January,2023,1,0
Spain,February,2023,0,0
Spain,March,2023,0,0
Spain,April,2023,1,0
Spain,May,2023,0,0
Spain,June,2023,0,0
Spain,July,2023,0,0
Spain,August,2023,0,0
Spain,September,2023,1,0
Spain,October,2023,0,0
Spain,November,2023,1,0
Spain,December,2023,1,0
Spain,January,2024,0,0
Spain,February,2024,1,1
Spain,March,2024,1,0
Spain,April,2024,0,0
Spain,May,2024,0,0
Spain,June,2024,1,0
Spain,July,2024,0,0
Spain,August,2024,1,0
Spain,September,2024,1,0
Spain,October,2024,0,0
Spain,November,2024,1,0
Spain,December,2024,2,0
Spain,January,2025,0,0
Spain,February,2025,0,0
Spain,March,2025,1,0
Spain,April,2025,1,0
Spain,May,2025,3,1
Spain,June,2025,4,1
Spain,July,2025,0,0
Spain,August,2025,6,0
Spain,September,2025,1,0
Spain,October,2025,0,0
Spain,November,2025,3,0
Spain,December,2025,0,0
Spain,January,2026,0,0
Spain,February,2026,0,0
Spain,March,2026,3,0
Spain,April,2026,0,0
