Country,Month,Year,Events,Fatalities
Tonga,January,2021,0,0
Tonga,February,2021,0,0
Tonga,March,2021,0,0
Tonga,April,2021,0,0
Tonga,May,2021,0,0
Tonga,June,2021,0,0
Tonga,July,2021,0,0
Tonga,August,2021,0,0
Tonga,September,2021,0,0
Tonga,October,2021,0,0
Tonga,November,2021,0,0
Tonga,December,2021,0,0
Tonga,January,2022,0,0
Tonga,February,2022,0,0
Tonga,March,2022,0,0
Tonga,April,2022,0,0
Tonga,May,2022,0,0
Tonga,June,2022,0,0
Tonga,July,2022,0,0
Tonga,August,2022,0,0
Tonga,September,2022,0,0
Tonga,October,2022,0,0
Tonga,November,2022,0,0
Tonga,December,2022,0,0
Tonga,January,2023,0,0
Tonga,February,2023,0,0
Tonga,March,2023,0,0
Tonga,April,2023,0,0
Tonga,May,2023,0,0
Tonga,June,2023,0,0
Tonga,July,2023,0,0
Tonga,August,2023,0,0
Tonga,September,2023,0,0
Tonga,October,2023,0,0
Tonga,November,2023,0,0
Tonga,December,2023,0,0
Tonga,January,2024,0,0
Tonga,February,2024,0,0
Tonga,March,2024,0,0
Tonga,April,2024,0,0
Tonga,May,2024,0,0
Tonga,June,2024,0,0
Tonga,July,2024,0,0
Tonga,August,2024,0,0
Tonga,September,2024,0,0
Tonga,October,2024,0,0
Tonga,November,2024,0,0
Tonga,December,2024,0,0
Tonga,January,2025,0,0
Tonga,February,2025,0,0
Tonga,March,2025,0,0
Tonga,April,2025,0,0
Tonga,May,2025,0,0
Tonga,June,2025,0,0
Tonga,July,2025,0,0
Tonga,August,2025,0,0
Tonga,September,2025,0,0
Tonga,October,2025,0,0
Tonga,November,2025,0,0
Tonga,December,2025,0,0
Tonga,January,2026,0,0
Tonga,February,2026,0,0
Tonga,March,2026,0,0
Tonga,April,2026,0,0
