Country,Month,Year,Events,Fatalities
Tuvalu,January,2021,0,0
Tuvalu,February,2021,0,0
Tuvalu,March,2021,0,0
Tuvalu,April,2021,0,0
Tuvalu,May,2021,0,0
Tuvalu,June,2021,0,0
Tuvalu,July,2021,0,0
Tuvalu,August,2021,0,0
Tuvalu,September,2021,0,0
Tuvalu,October,2021,0,0
Tuvalu,November,2021,0,0
Tuvalu,December,2021,0,0
Tuvalu,January,2022,0,0
Tuvalu,February,2022,0,0
Tuvalu,March,2022,0,0
Tuvalu,April,2022,0,0
Tuvalu,May,2022,0,0
Tuvalu,June,2022,0,0
Tuvalu,July,2022,0,0
Tuvalu,August,2022,0,0
Tuvalu,September,2022,0,0
Tuvalu,October,2022,0,0
Tuvalu,November,2022,0,0
Tuvalu,December,2022,0,0
Tuvalu,January,2023,0,0
Tuvalu,February,2023,0,0
Tuvalu,March,2023,0,0
Tuvalu,April,2023,0,0
Tuvalu,May,2023,0,0
Tuvalu,June,2023,0,0
Tuvalu,July,2023,0,0
Tuvalu,August,2023,0,0
Tuvalu,September,2023,0,0
Tuvalu,October,2023,0,0
Tuvalu,November,2023,0,0
Tuvalu,December,2023,0,0
Tuvalu,January,2024,0,0
Tuvalu,February,2024,0,0
Tuvalu,March,2024,0,0
Tuvalu,April,2024,0,0
Tuvalu,May,2024,0,0
Tuvalu,June,2024,0,0
Tuvalu,July,2024,0,0
Tuvalu,August,2024,0,0
Tuvalu,September,2024,0,0
Tuvalu,October,2024,0,0
Tuvalu,November,2024,0,0
Tuvalu,December,2024,0,0
Tuvalu,January,2025,0,0
Tuvalu,February,2025,0,0
Tuvalu,March,2025,0,0
Tuvalu,April,2025,0,0
Tuvalu,May,2025,0,0
Tuvalu,June,2025,0,0
Tuvalu,July,2025,0,0
Tuvalu,August,2025,0,0
Tuvalu,September,2025,0,0
Tuvalu,October,2025,0,0
Tuvalu,November,2025,0,0
Tuvalu,December,2025,0,0
Tuvalu,January,2026,0,0
Tuvalu,February,2026,0,0
Tuvalu,March,2026,0,0
Tuvalu,April,2026,0,0
