Country,Month,Year,Events,Fatalities
Uganda,January,1997,1,0
Uganda,February,1997,5,27
Uganda,March,1997,2,9
Uganda,April,1997,0,0
Uganda,May,1997,2,152
Uganda,June,1997,1,40
Uganda,July,1997,5,18
Uganda,August,1997,4,15
Uganda,September,1997,4,40
Uganda,October,1997,4,41
Uganda,November,1997,3,8
Uganda,December,1997,2,0
Uganda,January,1998,3,3
Uganda,February,1998,6,14
Uganda,March,1998,1,7
Uganda,April,1998,19,84
Uganda,May,1998,8,2
Uganda,June,1998,19,126
Uganda,July,1998,5,5
Uganda,August,1998,14,57
Uganda,September,1998,11,24
Uganda,October,1998,8,7
Uganda,November,1998,18,25
Uganda,December,1998,18,18
Uganda,January,1999,10,33
Uganda,February,1999,18,60
Uganda,March,1999,11,36
Uganda,April,1999,26,94
Uganda,May,1999,10,17
Uganda,June,1999,3,3
Uganda,July,1999,11,188
Uganda,August,1999,3,6
Uganda,September,1999,8,16
Uganda,October,1999,3,2
Uganda,November,1999,4,12
Uganda,December,1999,17,132
Uganda,January,2000,21,141
Uganda,February,2000,7,55
Uganda,March,2000,5,23
Uganda,April,2000,12,19
Uganda,May,2000,6,11
Uganda,June,2000,10,79
Uganda,July,2000,8,49
Uganda,August,2000,13,47
Uganda,September,2000,11,40
Uganda,October,2000,5,14
Uganda,November,2000,7,12
Uganda,December,2000,2,8
Uganda,January,2001,3,10
Uganda,February,2001,4,0
Uganda,March,2001,16,13
Uganda,April,2001,6,0
Uganda,May,2001,5,8
Uganda,June,2001,6,11
Uganda,July,2001,1,0
Uganda,August,2001,1,0
Uganda,September,2001,4,6
Uganda,October,2001,3,0
Uganda,November,2001,5,0
Uganda,December,2001,1,0
Uganda,January,2002,4,9
Uganda,February,2002,5,18
Uganda,March,2002,9,17
Uganda,April,2002,3,6
Uganda,May,2002,3,7
Uganda,June,2002,21,34
Uganda,July,2002,28,131
Uganda,August,2002,31,55
Uganda,September,2002,49,183
Uganda,October,2002,24,161
Uganda,November,2002,19,131
Uganda,December,2002,20,48
Uganda,January,2003,20,61
Uganda,February,2003,22,161
Uganda,March,2003,23,69
Uganda,April,2003,27,77
Uganda,May,2003,36,90
Uganda,June,2003,68,324
Uganda,July,2003,24,94
Uganda,August,2003,29,284
Uganda,September,2003,20,80
Uganda,October,2003,31,158
Uganda,November,2003,34,377
Uganda,December,2003,19,91
Uganda,January,2004,11,71
Uganda,February,2004,20,466
Uganda,March,2004,11,40
Uganda,April,2004,26,69
Uganda,May,2004,15,44
Uganda,June,2004,9,92
Uganda,July,2004,2,2
Uganda,August,2004,2,26
Uganda,September,2004,1,0
Uganda,October,2004,2,2
Uganda,November,2004,7,10
Uganda,December,2004,2,8
Uganda,January,2005,7,9
Uganda,February,2005,8,55
Uganda,March,2005,13,157
Uganda,April,2005,10,20
Uganda,May,2005,5,7
Uganda,June,2005,6,36
Uganda,July,2005,8,55
Uganda,August,2005,3,20
Uganda,September,2005,5,19
Uganda,October,2005,9,51
Uganda,November,2005,3,6
Uganda,December,2005,3,2
Uganda,January,2006,3,10
Uganda,February,2006,4,10
Uganda,March,2006,7,50
Uganda,April,2006,4,15
Uganda,May,2006,38,47
Uganda,June,2006,40,51
Uganda,July,2006,37,45
Uganda,August,2006,2,0
Uganda,September,2006,4,3
Uganda,October,2006,1,0
Uganda,November,2006,4,18
Uganda,December,2006,2,2
Uganda,January,2007,4,11
Uganda,February,2007,4,28
Uganda,March,2007,2,6
Uganda,April,2007,5,2
Uganda,May,2007,2,3
Uganda,June,2007,2,3
Uganda,July,2007,2,1
Uganda,August,2007,3,8
Uganda,September,2007,2,7
Uganda,October,2007,1,1
Uganda,November,2007,7,13
Uganda,December,2007,0,0
Uganda,January,2008,0,0
Uganda,February,2008,4,6
Uganda,March,2008,7,22
Uganda,April,2008,4,4
Uganda,May,2008,3,3
Uganda,June,2008,6,33
Uganda,July,2008,2,4
Uganda,August,2008,4,1
Uganda,September,2008,2,12
Uganda,October,2008,3,14
Uganda,November,2008,3,3
Uganda,December,2008,0,0
Uganda,January,2009,1,0
Uganda,February,2009,3,5
Uganda,March,2009,0,0
Uganda,April,2009,2,7
Uganda,May,2009,1,10
Uganda,June,2009,5,12
Uganda,July,2009,2,1
Uganda,August,2009,2,0
Uganda,September,2009,10,4
Uganda,October,2009,1,0
Uganda,November,2009,4,0
Uganda,December,2009,4,2
Uganda,January,2010,9,33
Uganda,February,2010,4,4
Uganda,March,2010,6,7
Uganda,April,2010,5,12
Uganda,May,2010,5,5
Uganda,June,2010,6,2
Uganda,July,2010,2,77
Uganda,August,2010,6,3
Uganda,September,2010,6,7
Uganda,October,2010,5,6
Uganda,November,2010,1,0
Uganda,December,2010,0,0
Uganda,January,2011,3,1
Uganda,February,2011,8,0
Uganda,March,2011,4,1
Uganda,April,2011,18,9
Uganda,May,2011,7,0
Uganda,June,2011,0,0
Uganda,July,2011,2,2
Uganda,August,2011,0,0
Uganda,September,2011,1,0
Uganda,October,2011,0,0
Uganda,November,2011,1,1
Uganda,December,2011,2,1
Uganda,January,2012,4,1
Uganda,February,2012,0,0
Uganda,March,2012,6,0
Uganda,April,2012,3,0
Uganda,May,2012,4,3
Uganda,June,2012,1,0
Uganda,July,2012,1,0
Uganda,August,2012,1,0
Uganda,September,2012,1,0
Uganda,October,2012,3,2
Uganda,November,2012,0,0
Uganda,December,2012,1,1
Uganda,January,2013,2,0
