Country,Month,Year,Events,Fatalities
"Virgin Islands, U.S.",January,2018,0,0
"Virgin Islands, U.S.",February,2018,0,0
"Virgin Islands, U.S.",March,2018,0,0
"Virgin Islands, U.S.",April,2018,0,0
"Virgin Islands, U.S.",May,2018,0,0
"Virgin Islands, U.S.",June,2018,0,0
"Virgin Islands, U.S.",July,2018,0,0
"Virgin Islands, U.S.",August,2018,0,0
"Virgin Islands, U.S.",September,2018,0,0
"Virgin Islands, U.S.",October,2018,0,0
"Virgin Islands, U.S.",November,2018,0,0
"Virgin Islands, U.S.",December,2018,0,0
"Virgin Islands, U.S.",January,2019,0,0
"Virgin Islands, U.S.",February,2019,0,0
"Virgin Islands, U.S.",March,2019,0,0
"Virgin Islands, U.S.",April,2019,0,0
"Virgin Islands, U.S.",May,2019,0,0
"Virgin Islands, U.S.",June,2019,0,0
"Virgin Islands, U.S.",July,2019,0,0
"Virgin Islands, U.S.",August,2019,0,0
"Virgin Islands, U.S.",September,2019,0,0
"Virgin Islands, U.S.",October,2019,0,0
"Virgin Islands, U.S.",November,2019,0,0
"Virgin Islands, U.S.",December,2019,0,0
"Virgin Islands, U.S.",January,2020,0,0
"Virgin Islands, U.S.",February,2020,0,0
"Virgin Islands, U.S.",March,2020,0,0
"Virgin Islands, U.S.",April,2020,1,0
"Virgin Islands, U.S.",May,2020,0,0
"Virgin Islands, U.S.",June,2020,0,0
"Virgin Islands, U.S.",July,2020,0,0
"Virgin Islands, U.S.",August,2020,0,0
"Virgin Islands, U.S.",September,2020,0,0
"Virgin Islands, U.S.",October,2020,0,0
"Virgin Islands, U.S.",November,2020,0,0
"Virgin Islands, U.S.",December,2020,0,0
"Virgin Islands, U.S.",January,2021,0,0
"Virgin Islands, U.S.",February,2021,0,0
"Virgin Islands, U.S.",March,2021,0,0
"Virgin Islands, U.S.",April,2021,0,0
"Virgin Islands, U.S.",May,2021,0,0
"Virgin Islands, U.S.",June,2021,0,0
"Virgin Islands, U.S.",July,2021,0,0
"Virgin Islands, U.S.",August,2021,0,0
"Virgin Islands, U.S.",September,2021,0,0
"Virgin Islands, U.S.",October,2021,0,0
"Virgin Islands, U.S.",November,2021,0,0
"Virgin Islands, U.S.",December,2021,0,0
"Virgin Islands, U.S.",January,2022,0,0
"Virgin Islands, U.S.",February,2022,0,0
"Virgin Islands, U.S.",March,2022,0,0
"Virgin Islands, U.S.",April,2022,0,0
"Virgin Islands, U.S.",May,2022,0,0
"Virgin Islands, U.S.",June,2022,0,0
"Virgin Islands, U.S.",July,2022,0,0
"Virgin Islands, U.S.",August,2022,0,0
"Virgin Islands, U.S.",September,2022,0,0
"Virgin Islands, U.S.",October,2022,0,0
"Virgin Islands, U.S.",November,2022,0,0
"Virgin Islands, U.S.",December,2022,0,0
"Virgin Islands, U.S.",January,2023,0,0
"Virgin Islands, U.S.",February,2023,0,0
"Virgin Islands, U.S.",March,2023,0,0
"Virgin Islands, U.S.",April,2023,0,0
"Virgin Islands, U.S.",May,2023,0,0
"Virgin Islands, U.S.",June,2023,0,0
"Virgin Islands, U.S.",July,2023,0,0
"Virgin Islands, U.S.",August,2023,0,0
"Virgin Islands, U.S.",September,2023,0,0
"Virgin Islands, U.S.",October,2023,0,0
"Virgin Islands, U.S.",November,2023,0,0
"Virgin Islands, U.S.",December,2023,0,0
"Virgin Islands, U.S.",January,2024,0,0
"Virgin Islands, U.S.",February,2024,0,0
"Virgin Islands, U.S.",March,2024,0,0
"Virgin Islands, U.S.",April,2024,0,0
"Virgin Islands, U.S.",May,2024,0,0
"Virgin Islands, U.S.",June,2024,0,0
"Virgin Islands, U.S.",July,2024,0,0
"Virgin Islands, U.S.",August,2024,0,0
"Virgin Islands, U.S.",September,2024,0,0
"Virgin Islands, U.S.",October,2024,0,0
"Virgin Islands, U.S.",November,2024,0,0
"Virgin Islands, U.S.",December,2024,0,0
"Virgin Islands, U.S.",January,2025,0,0
"Virgin Islands, U.S.",February,2025,0,0
"Virgin Islands, U.S.",March,2025,0,0
"Virgin Islands, U.S.",April,2025,0,0
"Virgin Islands, U.S.",May,2025,0,0
"Virgin Islands, U.S.",June,2025,0,0
"Virgin Islands, U.S.",July,2025,0,0
"Virgin Islands, U.S.",August,2025,0,0
"Virgin Islands, U.S.",September,2025,0,0
"Virgin Islands, U.S.",October,2025,0,0
"Virgin Islands, U.S.",November,2025,0,0
"Virgin Islands, U.S.",December,2025,0,0
"Virgin Islands, U.S.",January,2026,0,0
"Virgin Islands, U.S.",February,2026,0,0
"Virgin Islands, U.S.",March,2026,0,0
"Virgin Islands, U.S.",April,2026,0,0
