"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2005","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7660675048828","39.8190383911133","512699","66.3","7729.6","1265.0","455.5","607.8","33.5","95.3","186.9","342.1","607.8","1075.0","1828.6","2465.8","3603.7","5662.6"
"2005","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.8249893188477","83.0365829467773","2524504","15.4","164028.3","1759.8","334.1","601.5","5.8","35.2","118.0","305.2","601.5","1111.0","1883.8","3126.3","5388.9","10726.4"
"2005","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.2245063781738","127.767921447754","871225","2.4","359715.5","1294.6","220.4","412.3","3.5","26.4","84.4","206.3","412.3","804.7","1310.7","2408.3","4604.9","6545.2"
"2005","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.4304122924805","41.7504386901855","1243196","3.1","394988.9","1669.7","305.5","800.4","4.5","28.2","97.7","318.5","800.4","1518.0","2242.3","3443.5","4838.2","8057.5"
"2005","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.6194458007812","47.7473678588867","996000","22.4","44467.4","2534.2","606.8","1405.0","15.5","64.3","210.2","577.0","1405.0","2409.9","3462.1","5644.2","7264.5","9182.5"
"2005","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.424430847168","55.9228096008301","4065926","28.4","142972.6","2166.2","439.8","702.6","11.3","46.4","154.4","369.0","702.6","1250.3","2213.7","3909.9","7261.8","11735.7"
"2005","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.753101348877","37.2262802124023","1524195","54.1","28182.2","1229.2","325.3","400.3","20.5","62.5","128.5","237.6","400.3","619.5","968.8","1799.7","4041.1","8781.7"
"2005","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0416717529297","33.7060699462891","1330728","39.0","34077.2","2533.5","593.3","1113.6","13.9","69.1","216.4","556.2","1113.6","2007.8","3153.7","4405.2","7572.4","13684.1"
"2005","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9830551147461","107.610404968262","972822","2.9","329967.4","1471.1","193.4","392.7","2.0","12.4","51.9","154.2","392.7","887.2","1700.9","2743.8","5115.3","7731.8"
"2005","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.2756004333496","45.8193168640137","1104627","73.3","15078.4","643.1","305.7","376.4","44.8","89.3","153.4","246.6","376.4","562.3","818.6","1116.7","1596.7","5640.4"
"2005","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7874641418457","60.5512657165527","3539174","41.2","85923.4","2465.1","751.3","1180.2","35.6","153.3","378.2","728.6","1180.2","1807.1","2900.0","5006.5","8019.3","9665.4"
"2005","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8193206787109","47.2374382019043","1288127","71.6","17979.1","2759.5","716.7","1439.0","28.1","75.1","193.3","583.1","1439.0","2413.9","3438.9","5316.4","8041.5","13347.8"
"2005","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9120254516602","30.3113460540771","4378108","2197.5","1992.3","11829.7","7877.1","10921.6","1692.9","4173.4","6253.5","8611.9","10921.6","13067.7","15747.6","18738.8","22157.3","48838.2"
"2005","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7295227050781","47.3131256103516","2669557","54.9","48661.5","4448.0","606.0","691.4","26.7","61.9","134.6","298.3","691.4","1565.5","3411.7","5798.9","10195.8","86842.6"
"2005","RUS","643","Russia","Gorno-Altay","RUS.16_1","RU.GA","51.3466453552246","86.2563018798828","204280","2.2","92205.6","528.7","43.4","62.7","0.8","1.7","5.0","17.2","62.7","165.0","375.3","1003.6","1876.4","4125.7"
